feature,importance
volume_std,0.08535286546985799
volume_ratio,0.04084198638348162
ma_spread_20_200,0.03918228660595542
rsi_14,0.03815380889274747
ret_1,0.037974306698178896
ret_20,0.037239516869743375
ma_spread_50_200,0.036880208447985584
macd_hist,0.03568949867001989
macd,0.034518829960028585
sma_100_dist,0.033241373543590524
macd_signal,0.03315558264764203
sma_200_dist,0.03117398538907022
sma_10_dist,0.030227581312022432
mom_10,0.029992972071904055
bb_width,0.02992394536453897
atr_14,0.029572114979668062
bb_pctb,0.029527359395790497
mom_20,0.029453730213401526
rvol_20,0.02854047927843663
obv_norm,0.028077689114088734
