date,type,upper_touches,lower_touches,total_touches,upper_mean_err,lower_mean_err,containment
2010-04-14,channel_up,3,3,6,0.0711,0.0613,0.964
2012-11-13,channel_down,2,4,6,0.0082,0.1274,0.963
2013-08-28,channel_down,3,3,6,0.065,0.0901,0.893
2014-02-13,channel_down,3,3,6,0.1176,0.1878,1.0
2014-08-07,channel_down,2,4,6,0.0353,0.1054,1.0
2016-04-26,channel_up,3,4,7,0.1118,0.08,0.974
2016-05-19,channel_down,2,3,5,0.1262,0.1912,1.0
2016-11-04,channel_down,2,3,5,0.044,0.0641,1.0
2019-07-19,channel_up,4,4,8,0.184,0.1525,1.0
2022-10-06,channel_down,2,3,5,0.3423,1.2738,1.0
2023-01-26,channel_up,3,3,6,0.4751,0.2709,0.923
2023-08-10,channel_up,2,3,5,0.4282,0.0518,1.0
