date,type,upper_touches,lower_touches,total_touches,upper_mean_err,lower_mean_err,containment
2010-06-14,symmetric_triangle,3,2,5,0.327,0.0,0.92
2011-03-16,symmetric_triangle,10,5,15,0.1601,0.0926,0.76
2011-05-17,symmetric_triangle,5,5,10,0.1337,0.1709,0.84
2011-06-29,symmetric_triangle,4,5,9,0.1285,0.1607,0.92
2011-09-21,symmetric_triangle,3,5,8,0.104,0.2726,0.76
2011-11-29,symmetric_triangle,7,4,11,0.2419,0.0272,0.72
2012-10-04,symmetric_triangle,5,7,12,0.0885,0.0853,1.0
2014-07-28,ascending_triangle,9,4,13,0.1568,0.0718,0.88
2015-01-13,symmetric_triangle,8,3,11,0.2257,0.074,0.92
2015-04-23,ascending_triangle,7,4,11,0.1072,0.2106,1.0
2015-08-06,symmetric_triangle,4,6,10,0.1434,0.1582,0.96
2016-10-11,symmetric_triangle,10,9,19,0.2318,0.206,0.96
2017-03-21,symmetric_triangle,4,5,9,0.0889,0.1275,0.8
2017-07-19,symmetric_triangle,4,4,8,0.1857,0.0764,0.8
2019-08-23,symmetric_triangle,6,4,10,0.4634,0.3645,0.76
2019-09-11,symmetric_triangle,8,3,11,0.4578,0.2208,0.76
2020-07-06,symmetric_triangle,7,3,10,0.6285,0.2589,0.92
2022-01-20,symmetric_triangle,4,3,7,0.3973,0.5487,0.88
2022-07-14,symmetric_triangle,4,4,8,0.7934,0.4054,0.76
2023-02-21,symmetric_triangle,7,8,15,0.7058,0.9015,0.92
2023-05-24,descending_triangle,5,2,7,0.0521,0.0,0.8
2023-09-20,symmetric_triangle,2,2,4,0.0,0.4088,0.88
