pt_mult,sl_mult,max_holding,n_events,accuracy,f1_macro,label_dist,score
1.0,1.0,5,104,0.619,0.3657,"{'no_trade': 63, 'long': 28, 'short': 13}",0.3657
1.0,1.0,10,104,0.4762,0.2625,"{'no_trade': 57, 'long': 32, 'short': 15}",0.2625
1.0,1.0,15,104,0.5238,0.3168,"{'no_trade': 56, 'long': 32, 'short': 16}",0.3168
1.0,1.0,20,104,0.5238,0.3168,"{'no_trade': 56, 'long': 32, 'short': 16}",0.3168
1.0,1.5,5,104,0.4286,0.246,"{'no_trade': 58, 'long': 30, 'short': 16}",0.246
1.0,1.5,10,104,0.4286,0.2997,"{'no_trade': 48, 'long': 38, 'short': 18}",0.2997
1.0,1.5,15,104,0.5238,0.3603,"{'no_trade': 44, 'long': 41, 'short': 19}",0.3603
1.0,1.5,20,104,0.5238,0.3603,"{'no_trade': 44, 'long': 41, 'short': 19}",0.3603
1.0,2.0,5,104,0.4286,0.246,"{'no_trade': 58, 'long': 30, 'short': 16}",0.246
1.0,2.0,10,104,0.4286,0.2997,"{'no_trade': 46, 'long': 39, 'short': 19}",0.2997
1.0,2.0,15,104,0.5714,0.3977,"{'long': 42, 'no_trade': 41, 'short': 21}",0.3977
1.0,2.0,20,104,0.619,0.4167,"{'long': 43, 'no_trade': 39, 'short': 22}",0.4167
1.0,2.5,5,104,0.4762,0.3001,"{'no_trade': 56, 'long': 32, 'short': 16}",0.3001
1.0,2.5,10,104,0.5238,0.367,"{'no_trade': 43, 'long': 41, 'short': 20}",0.367
1.0,2.5,15,104,0.619,0.4276,"{'long': 44, 'no_trade': 37, 'short': 23}",0.4276
1.0,2.5,20,104,0.619,0.4167,"{'long': 45, 'no_trade': 35, 'short': 24}",0.4167
1.0,3.0,5,104,0.4762,0.3001,"{'no_trade': 56, 'long': 32, 'short': 16}",0.3001
1.0,3.0,10,104,0.5238,0.367,"{'no_trade': 43, 'long': 41, 'short': 20}",0.367
1.0,3.0,15,104,0.619,0.4276,"{'long': 44, 'no_trade': 37, 'short': 23}",0.4276
1.0,3.0,20,104,0.7143,0.6794,"{'long': 46, 'no_trade': 33, 'short': 25}",0.6794
1.5,1.0,5,104,0.7619,0.5714,"{'no_trade': 73, 'long': 22, 'short': 9}",0.5714
1.5,1.0,10,104,0.5238,0.4167,"{'no_trade': 64, 'long': 28, 'short': 12}",0.4167
1.5,1.0,15,104,0.4762,0.3873,"{'no_trade': 62, 'long': 30, 'short': 12}",0.3873
1.5,1.0,20,104,0.4762,0.3873,"{'no_trade': 61, 'long': 30, 'short': 13}",0.3873
1.5,1.5,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.3914
1.5,1.5,10,104,0.5714,0.3651,"{'no_trade': 58, 'long': 32, 'short': 14}",0.3651
1.5,1.5,15,104,0.5238,0.3573,"{'no_trade': 53, 'long': 37, 'short': 14}",0.3573
1.5,1.5,20,104,0.5714,0.3905,"{'no_trade': 50, 'long': 39, 'short': 15}",0.3905
1.5,2.0,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.3914
1.5,2.0,10,104,0.5714,0.3651,"{'no_trade': 56, 'long': 33, 'short': 15}",0.3651
1.5,2.0,15,104,0.4286,0.2919,"{'no_trade': 50, 'long': 38, 'short': 16}",0.2919
1.5,2.0,20,104,0.619,0.4171,"{'no_trade': 45, 'long': 41, 'short': 18}",0.4171
1.5,2.5,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.3914
1.5,2.5,10,104,0.5714,0.341,"{'no_trade': 54, 'long': 35, 'short': 15}",0.341
1.5,2.5,15,104,0.5714,0.3876,"{'no_trade': 47, 'long': 40, 'short': 17}",0.3876
1.5,2.5,20,104,0.6667,0.4461,"{'long': 43, 'no_trade': 41, 'short': 20}",0.4461
1.5,3.0,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.3914
1.5,3.0,10,104,0.5714,0.341,"{'no_trade': 54, 'long': 35, 'short': 15}",0.341
1.5,3.0,15,104,0.5714,0.3876,"{'no_trade': 47, 'long': 40, 'short': 17}",0.3876
1.5,3.0,20,104,0.7143,0.475,"{'long': 44, 'no_trade': 40, 'short': 20}",0.475
2.0,1.0,5,104,0.9048,0.475,"{'no_trade': 86, 'long': 11, 'short': 7}",0.475
2.0,1.0,10,104,0.619,0.475,"{'no_trade': 70, 'long': 24, 'short': 10}",0.475
2.0,1.0,15,104,0.4762,0.3873,"{'no_trade': 66, 'long': 28, 'short': 10}",0.3873
2.0,1.0,20,104,0.5238,0.4167,"{'no_trade': 65, 'long': 28, 'short': 11}",0.4167
2.0,1.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.4296
2.0,1.5,10,104,0.4286,0.2418,"{'no_trade': 66, 'long': 26, 'short': 12}",0.2418
2.0,1.5,15,104,0.4762,0.2928,"{'no_trade': 60, 'long': 32, 'short': 12}",0.2928
2.0,1.5,20,104,0.5238,0.3573,"{'no_trade': 57, 'long': 34, 'short': 13}",0.3573
2.0,2.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.4296
2.0,2.0,10,104,0.4286,0.2418,"{'no_trade': 64, 'long': 27, 'short': 13}",0.2418
2.0,2.0,15,104,0.4762,0.3117,"{'no_trade': 57, 'long': 33, 'short': 14}",0.3117
2.0,2.0,20,104,0.5238,0.3571,"{'no_trade': 52, 'long': 36, 'short': 16}",0.3571
2.0,2.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.4296
2.0,2.5,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.3168
2.0,2.5,15,104,0.619,0.4183,"{'no_trade': 54, 'long': 35, 'short': 15}",0.4183
2.0,2.5,20,104,0.5714,0.3905,"{'no_trade': 48, 'long': 38, 'short': 18}",0.3905
2.0,3.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.4296
2.0,3.0,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.3168
2.0,3.0,15,104,0.619,0.4183,"{'no_trade': 54, 'long': 35, 'short': 15}",0.4183
2.0,3.0,20,104,0.619,0.4222,"{'no_trade': 47, 'long': 39, 'short': 18}",0.4222
2.5,1.0,5,104,0.9524,0.4878,"{'no_trade': 96, 'short': 4, 'long': 4}",0.4878
