event_date,event_type,intended_direction,entry_price,atr,tp_price,sl_price,exit_date,exit_price,exit_reason,bars_held,label,return_pct
2010-04-14,channel_up,long,91.3,0.8416,92.98,89.62,2010-04-16,89.62,stop_loss,2,no_trade,-1.8436
2010-06-14,symmetric_triangle,long,82.5,1.9609,86.42,78.58,2010-06-28,81.39,time_exit,10,no_trade,-1.3409
2010-07-06,multiple_top,short,77.87,1.4732,74.92,80.81,2010-07-08,80.81,stop_loss,2,no_trade,-3.784
2010-08-05,near_resistance,short,85.42,1.329,82.76,88.08,2010-08-11,82.76,take_profit,4,short,3.1116
2010-09-13,near_resistance,short,85.32,1.2727,82.78,87.87,2010-09-27,86.96,time_exit,10,no_trade,-1.9177
2010-11-02,near_resistance,short,90.92,1.0605,88.8,93.04,2010-11-04,93.04,stop_loss,2,no_trade,-2.3329
2010-11-05,multiple_bottom,long,93.39,1.0844,95.56,91.22,2010-11-12,91.22,stop_loss,5,no_trade,-2.3224
2010-11-23,multiple_bottom,long,90.14,1.1942,92.53,87.75,2010-12-02,92.53,take_profit,6,long,2.6497
2010-12-02,near_resistance,short,93.27,1.3046,90.66,95.88,2010-12-16,94.99,time_exit,10,no_trade,-1.844
2010-12-21,multiple_bottom,long,95.92,0.7264,97.38,94.47,2011-01-03,97.38,take_profit,8,long,1.5145
2011-02-04,multiple_bottom,long,100.33,0.9541,102.24,98.42,2011-02-16,102.24,take_profit,8,long,1.9019
2011-03-08,multiple_bottom,long,101.42,1.3628,104.15,98.7,2011-03-15,98.7,stop_loss,5,no_trade,-2.6873
2011-04-21,near_resistance,short,102.79,1.0027,100.78,104.79,2011-04-29,104.79,stop_loss,5,no_trade,-1.951
2011-05-17,symmetric_triangle,short,102.32,1.1261,100.06,104.57,2011-06-01,101.32,time_exit,10,no_trade,0.9762
2011-06-02,multiple_bottom,long,101.21,1.1766,103.56,98.86,2011-06-08,98.86,stop_loss,4,no_trade,-2.3251
2011-06-29,symmetric_triangle,long,100.93,1.3569,103.65,98.22,2011-07-07,103.65,take_profit,5,long,2.6887
2011-07-12,multiple_top,short,101.46,1.3027,98.85,104.06,2011-07-21,104.06,stop_loss,7,no_trade,-2.568
2011-10-03,near_support,long,85.32,2.5107,90.34,80.3,2011-10-06,90.34,take_profit,3,long,5.8853
2012-03-15,multiple_bottom,long,109.91,1.0243,111.96,107.86,2012-03-29,110.01,time_exit,10,no_trade,0.0885
2012-05-14,near_support,long,105.21,1.2602,107.73,102.68,2012-05-17,102.68,stop_loss,3,no_trade,-2.3957
2012-08-21,multiple_bottom,long,111.78,0.9187,113.62,109.95,2012-09-05,111.11,time_exit,10,no_trade,-0.5996
2012-10-04,symmetric_triangle,long,115.84,0.9582,117.76,113.93,2012-10-10,113.93,stop_loss,4,no_trade,-1.6543
2012-10-17,multiple_bottom,long,115.9,1.0357,117.97,113.83,2012-10-19,113.83,stop_loss,2,no_trade,-1.7872
2012-11-13,channel_down,short,109.23,1.4881,106.26,112.21,2012-11-28,112.14,time_exit,10,no_trade,-2.6635
2013-01-30,multiple_bottom,long,119.81,0.7567,121.32,118.3,2013-02-12,121.32,take_profit,9,long,1.2632
2013-03-04,near_resistance,short,122.09,1.2757,119.53,124.64,2013-03-13,124.64,stop_loss,7,no_trade,-2.0898
2013-03-13,multiple_bottom,long,124.47,1.1896,126.84,122.09,2013-03-27,125.25,time_exit,10,no_trade,0.6316
2013-04-29,near_resistance,short,127.75,1.4337,124.88,130.61,2013-05-08,130.61,stop_loss,7,no_trade,-2.2446
2013-05-07,multiple_bottom,long,130.39,1.1067,132.61,128.18,2013-05-15,132.61,take_profit,6,long,1.6974
2013-07-05,multiple_bottom,long,131.42,1.8176,135.06,127.79,2013-07-11,135.06,take_profit,4,long,2.766
2013-08-28,channel_down,short,132.14,1.2576,129.62,134.65,2013-09-09,134.65,stop_loss,7,no_trade,-1.9035
2013-09-12,multiple_bottom,long,136.2,1.2409,138.68,133.72,2013-09-18,138.68,take_profit,4,long,1.8222
2013-11-06,multiple_bottom,long,143.52,0.9553,145.43,141.61,2013-11-07,141.61,stop_loss,1,no_trade,-1.3312
2013-12-09,near_resistance,short,146.95,1.0086,144.93,148.97,2013-12-11,144.93,take_profit,2,short,1.3727
2013-12-18,multiple_bottom,long,147.19,1.2649,149.72,144.66,2013-12-26,149.72,take_profit,5,long,1.7187
2014-02-13,channel_down,short,149.06,1.7634,145.53,152.59,2014-02-28,151.73,time_exit,10,no_trade,-1.7923
2014-04-25,multiple_bottom,long,152.4,1.5789,155.56,149.24,2014-05-09,153.77,time_exit,10,no_trade,0.8964
2014-07-08,multiple_bottom,long,161.31,0.9831,163.28,159.34,2014-07-22,162.92,time_exit,10,no_trade,0.9987
2014-07-16,near_resistance,short,162.72,1.0251,160.67,164.77,2014-07-17,160.67,take_profit,1,short,1.26
2014-08-07,channel_down,short,157.03,1.4884,154.05,160.0,2014-08-11,160.0,stop_loss,2,no_trade,-1.8957
2014-10-31,near_resistance,short,166.54,2.4663,161.61,171.47,2014-11-14,168.67,time_exit,10,no_trade,-1.2794
