,label
0,no_trade
1,short
2,no_trade
3,no_trade
4,no_trade
5,long
6,no_trade
7,long
8,long
9,no_trade
10,no_trade
11,no_trade
12,no_trade
13,long
14,no_trade
15,no_trade
16,no_trade
17,no_trade
18,long
19,no_trade
20,no_trade
21,no_trade
22,long
23,long
24,long
25,no_trade
26,short
27,long
28,no_trade
29,no_trade
30,short
31,no_trade
32,short
33,no_trade
34,no_trade
35,long
36,short
37,no_trade
38,no_trade
39,no_trade
40,no_trade
41,no_trade
42,long
43,no_trade
44,no_trade
45,short
46,long
47,long
48,no_trade
49,long
50,short
51,no_trade
52,no_trade
53,no_trade
54,no_trade
55,short
56,long
57,no_trade
58,no_trade
59,long
60,no_trade
61,long
62,long
63,no_trade
64,no_trade
65,long
66,no_trade
67,long
68,no_trade
69,long
70,no_trade
71,no_trade
72,no_trade
73,no_trade
74,long
75,no_trade
76,no_trade
77,no_trade
78,short
79,no_trade
80,long
81,no_trade
82,no_trade
83,no_trade
84,no_trade
85,no_trade
86,long
87,long
88,no_trade
89,long
90,no_trade
91,no_trade
92,no_trade
93,no_trade
94,no_trade
95,short
96,no_trade
97,short
98,no_trade
99,no_trade
100,long
101,short
102,no_trade
103,short
