pt_mult,sl_mult,max_holding,n_events,accuracy,f1_macro,label_dist,cumulative_return,sharpe,profit_factor,win_rate,n_trades,score
1.0,1.0,5,104,0.619,0.3657,"{'no_trade': 63, 'long': 28, 'short': 13}",0.01594,0.3093,1.9093,0.5,4,0.01594
1.0,1.0,10,104,0.4762,0.2625,"{'no_trade': 57, 'long': 32, 'short': 15}",-0.019666,-0.5247,0.3553,0.2,5,-0.019666
1.0,1.0,15,104,0.5238,0.3168,"{'no_trade': 56, 'long': 32, 'short': 16}",0.002968,0.0426,1.0973,0.3333,6,0.002968
1.0,1.0,20,104,0.5238,0.3168,"{'no_trade': 56, 'long': 32, 'short': 16}",0.002968,0.0426,1.0973,0.3333,6,0.002968
1.0,1.5,5,104,0.4286,0.246,"{'no_trade': 58, 'long': 30, 'short': 16}",-8.7e-05,-0.0021,0.9955,0.3333,3,-8.7e-05
1.0,1.5,10,104,0.4286,0.2997,"{'no_trade': 48, 'long': 38, 'short': 18}",-0.009332,-0.0832,0.82,0.625,8,-0.009332
1.0,1.5,15,104,0.5238,0.3603,"{'no_trade': 44, 'long': 41, 'short': 19}",0.012904,0.0766,1.1831,0.6364,11,0.012904
1.0,1.5,20,104,0.5238,0.3603,"{'no_trade': 44, 'long': 41, 'short': 19}",0.012904,0.0766,1.1831,0.6364,11,0.012904
1.0,2.0,5,104,0.4286,0.246,"{'no_trade': 58, 'long': 30, 'short': 16}",-0.003891,-0.088,0.8308,0.3333,3,-0.003891
1.0,2.0,10,104,0.4286,0.2997,"{'no_trade': 46, 'long': 39, 'short': 19}",-0.026616,-0.1928,0.615,0.625,8,-0.026616
1.0,2.0,15,104,0.5714,0.3977,"{'long': 42, 'no_trade': 41, 'short': 21}",0.033168,0.2238,1.6147,0.7,10,0.033168
1.0,2.0,20,104,0.619,0.4167,"{'long': 43, 'no_trade': 39, 'short': 22}",0.020917,0.0892,1.2225,0.6923,13,0.020917
1.0,2.5,5,104,0.4762,0.3001,"{'no_trade': 56, 'long': 32, 'short': 16}",0.000252,0.0046,1.0101,0.5,4,0.000252
1.0,2.5,10,104,0.5238,0.367,"{'no_trade': 43, 'long': 41, 'short': 20}",0.028776,0.2664,1.791,0.75,8,0.028776
1.0,2.5,15,104,0.619,0.4276,"{'long': 44, 'no_trade': 37, 'short': 23}",0.034277,0.1898,1.5082,0.7273,11,0.034277
1.0,2.5,20,104,0.619,0.4167,"{'long': 45, 'no_trade': 35, 'short': 24}",-0.00258,-0.0094,0.978,0.6923,13,-0.00258
1.0,3.0,5,104,0.4762,0.3001,"{'no_trade': 56, 'long': 32, 'short': 16}",0.000252,0.0046,1.0101,0.5,4,0.000252
1.0,3.0,10,104,0.5238,0.367,"{'no_trade': 43, 'long': 41, 'short': 20}",0.0215,0.1794,1.4925,0.75,8,0.0215
1.0,3.0,15,104,0.619,0.4276,"{'long': 44, 'no_trade': 37, 'short': 23}",0.020788,0.1024,1.2569,0.7273,11,0.020788
1.0,3.0,20,104,0.7143,0.6794,"{'long': 46, 'no_trade': 33, 'short': 25}",0.060577,0.2515,1.7485,0.7857,14,0.060577
1.5,1.0,5,104,0.7619,0.5714,"{'no_trade': 73, 'long': 22, 'short': 9}",0.011123,0.2099,1.6345,0.3333,3,0.011123
1.5,1.0,10,104,0.5238,0.4167,"{'no_trade': 64, 'long': 28, 'short': 12}",-0.004332,-0.0452,0.8991,0.2857,7,-0.004332
1.5,1.0,15,104,0.4762,0.3873,"{'no_trade': 62, 'long': 30, 'short': 12}",-0.028643,-0.2996,0.5001,0.1429,7,-0.028643
1.5,1.0,20,104,0.4762,0.3873,"{'no_trade': 61, 'long': 30, 'short': 13}",-0.028643,-0.2996,0.5001,0.1429,7,-0.028643
1.5,1.5,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.043706,0.529,3.2777,0.5,4,0.043706
1.5,1.5,10,104,0.5714,0.3651,"{'no_trade': 58, 'long': 32, 'short': 14}",0.048104,0.5029,3.2038,0.7143,7,0.048104
1.5,1.5,15,104,0.5238,0.3573,"{'no_trade': 53, 'long': 37, 'short': 14}",0.046589,0.2897,1.8385,0.6,10,0.046589
1.5,1.5,20,104,0.5714,0.3905,"{'no_trade': 50, 'long': 39, 'short': 15}",0.056005,0.3059,1.903,0.6,10,0.056005
1.5,2.0,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.039902,0.4592,2.7354,0.5,4,0.039902
1.5,2.0,10,104,0.5714,0.3651,"{'no_trade': 56, 'long': 33, 'short': 15}",0.040829,0.3876,2.4029,0.7143,7,0.040829
1.5,2.0,15,104,0.4286,0.2919,"{'no_trade': 50, 'long': 38, 'short': 16}",-0.008707,-0.0383,0.9202,0.5,10,-0.008707
1.5,2.0,20,104,0.619,0.4171,"{'no_trade': 45, 'long': 41, 'short': 18}",0.034839,0.1157,1.2839,0.6154,13,0.034839
1.5,2.5,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.038017,0.4266,2.5281,0.5,4,0.038017
1.5,2.5,10,104,0.5714,0.341,"{'no_trade': 54, 'long': 35, 'short': 15}",0.009422,0.0965,1.259,0.6,5,0.009422
1.5,2.5,15,104,0.5714,0.3876,"{'no_trade': 47, 'long': 40, 'short': 17}",0.016834,0.054,1.127,0.6154,13,0.016834
1.5,2.5,20,104,0.6667,0.4461,"{'long': 43, 'no_trade': 41, 'short': 20}",0.033655,0.0908,1.2194,0.6429,14,0.033655
1.5,3.0,5,104,0.6667,0.3914,"{'no_trade': 69, 'long': 24, 'short': 11}",0.038017,0.4266,2.5281,0.5,4,0.038017
1.5,3.0,10,104,0.5714,0.341,"{'no_trade': 54, 'long': 35, 'short': 15}",0.002146,0.0204,1.0492,0.6,5,0.002146
1.5,3.0,15,104,0.5714,0.3876,"{'no_trade': 47, 'long': 40, 'short': 17}",0.063139,0.2362,1.6575,0.6923,13,0.063139
1.5,3.0,20,104,0.7143,0.475,"{'long': 44, 'no_trade': 40, 'short': 20}",0.129523,0.4274,2.4792,0.7143,14,0.129523
2.0,1.0,5,104,0.9048,0.475,"{'no_trade': 86, 'long': 11, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
2.0,1.0,10,104,0.619,0.475,"{'no_trade': 70, 'long': 24, 'short': 10}",0.011248,0.1054,1.3048,0.3333,6,0.011248
2.0,1.0,15,104,0.4762,0.3873,"{'no_trade': 66, 'long': 28, 'short': 10}",-0.039108,-0.2902,0.4942,0.125,8,-0.039108
2.0,1.0,20,104,0.5238,0.4167,"{'no_trade': 65, 'long': 28, 'short': 11}",-0.019091,-0.161,0.6668,0.1429,7,-0.019091
2.0,1.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,1.5,10,104,0.4286,0.2418,"{'no_trade': 66, 'long': 26, 'short': 12}",0.033128,0.2494,1.8186,0.5714,7,0.033128
2.0,1.5,15,104,0.4762,0.2928,"{'no_trade': 60, 'long': 32, 'short': 12}",0.00819,0.0608,1.1474,0.4286,7,0.00819
2.0,1.5,20,104,0.5238,0.3573,"{'no_trade': 57, 'long': 34, 'short': 13}",0.059626,0.2305,1.6478,0.5455,11,0.059626
2.0,2.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,2.0,10,104,0.4286,0.2418,"{'no_trade': 64, 'long': 27, 'short': 13}",0.019641,0.1338,1.364,0.5714,7,0.019641
2.0,2.0,15,104,0.4762,0.3117,"{'no_trade': 57, 'long': 33, 'short': 14}",-0.016393,-0.0739,0.8497,0.4444,9,-0.016393
2.0,2.0,20,104,0.5238,0.3571,"{'no_trade': 52, 'long': 36, 'short': 16}",0.012341,0.0328,1.0733,0.5385,13,0.012341
2.0,2.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,2.5,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.046764,0.3574,2.2855,0.7143,7,0.046764
2.0,2.5,15,104,0.619,0.4183,"{'no_trade': 54, 'long': 35, 'short': 15}",0.025842,0.0932,1.2381,0.6,10,0.025842
2.0,2.5,20,104,0.5714,0.3905,"{'no_trade': 48, 'long': 38, 'short': 18}",0.005329,0.0158,1.0347,0.5833,12,0.005329
2.0,3.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,3.0,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.039488,0.2807,1.9045,0.7143,7,0.039488
